order_no,item_name,order_time
007D23010500007469,Bolu kukus,1/5/2023 8:09
007D23010500007470,KOPI ,1/5/2023 10:19
007D23010500007470,KOPI ,1/5/2023 10:19
007D23010500007471,KOPI ,1/5/2023 11:24
007D23010500007472,Chocolate Malt ,1/5/2023 11:42
007D23010500007472,TAHU ,1/5/2023 11:42
007D23010500007473,KOPI ,1/5/2023 12:23
007D23010500007473,Taro ,1/5/2023 12:23
007D23010500007473,KENTANG ,1/5/2023 12:23
007D23010500007474,KOPI ,1/5/2023 12:24
007D23010500007475,62 ( noms snack 2000 ),1/5/2023 12:29
007D23010500007476,KOPI ,1/5/2023 12:56
007D23010500007477,TEH ,1/5/2023 13:05
007D23010500007478,Matcha latte ,1/5/2023 13:37
007D23010500007478,PISANG GORENG CRISPY ,1/5/2023 13:37
007D23010500007479,KOPI ,1/5/2023 13:38
007D23010500007480,KOPI ,1/5/2023 14:26
007D23010500007480,KACANG BAWANG,1/5/2023 14:26
007D23010500007481,KOPI ,1/5/2023 14:57
007D23010500007481,PISANG GORENG CRISPY ,1/5/2023 14:57
007D23010500007482,KOPI ,1/5/2023 15:00
007D23010500007483,KOPI ,1/5/2023 16:05
007D23010500007483,TEH ,1/5/2023 16:05
007D23010500007483,SINGKONG KEJU ,1/5/2023 16:05
007D23010500007483,SINGKONG KEJU ,1/5/2023 16:05
007D23010500007483,TAHU ,1/5/2023 16:05
007D23010500007483,KACANG BAWANG,1/5/2023 16:05
007D23010500007484,KOPI ,1/5/2023 17:06
007D23010500007485,TEH ,1/5/2023 17:26
007D23010500007485,Ready Eat ,1/5/2023 17:26
007D23010500007486,TEH ,1/5/2023 17:32
007D23010500007486,KENTANG ,1/5/2023 17:32
007D23010500007487,Chocolate Malt ,1/5/2023 18:23
007D23010500007487,JERUK ,1/5/2023 18:23
007D23010500007487,NUGGET ,1/5/2023 18:23
007D23010500007488,KOPI ,1/5/2023 18:59
007D23010500007488,CIRENG ,1/5/2023 18:59
007D23010500007489,JERUK ,1/5/2023 18:59
007D23010500007490,KACANG BAWANG,1/5/2023 19:02
007D23010500007491,KOPI ,1/5/2023 19:03
007D23010500007492,KOPI ,1/5/2023 19:15
007D23010500007492,AIR MINERAL RON 88,1/5/2023 19:15
007D23010500007493,SUSU COKLAT ,1/5/2023 19:24
007D23010500007494,KOPI ,1/5/2023 20:32
007D23010500007495,JAHE ,1/5/2023 20:33
007D23010500007496,KOPI ,1/5/2023 21:00
007D23010500007496,KOPI ,1/5/2023 21:00
007D23010500007496,Ready Eat ,1/5/2023 21:00
007D23010500007496,NUGGET ,1/5/2023 21:00
007D23010500007497,Bintang Redler Lemon ,1/5/2023 21:01
007D23010500007497,Bintang CRYSTAL ,1/5/2023 21:01
007D23010500007498,62 ( noms snack 2000 ),1/5/2023 21:08
007D23010500007499,CIRENG ,1/5/2023 21:30
007D23010500007499,TAHU ,1/5/2023 21:30
007D23010500007499,Taro ,1/5/2023 21:30
007D23010500007499,NUGGET ,1/5/2023 21:30
007D23010500007499,CLASS MILD 12,1/5/2023 21:30
007D23010500007499,Bintang Redler Lemon ,1/5/2023 21:30
007D23010500007500,Coffe choco orange ,1/5/2023 21:53
007D23010500007500,Bintang CRYSTAL ,1/5/2023 21:53
007D23010500007501,TEH ,1/5/2023 23:27
007D23010500007502,JAHE ,1/5/2023 23:56
007D23010500007502,Chocolate Malt ,1/5/2023 23:56
007D23010600007503,COFFE BEER RTD ,1/6/2023 0:02
007D23010600007503,ICI OCHA ,1/6/2023 0:02
007D23010600007503,AIR MINERAL RON 88,1/6/2023 0:02
007D23010600007503,62 ( noms snack 2000 ),1/6/2023 0:02
007D23010600007504,AIR MINERAL RON 88,1/6/2023 1:22
007D23010600007504,KOPI ,1/6/2023 1:22
007D23010600007504,NASI ADD ON,1/6/2023 1:22
007D23010600007504,Ready Eat ,1/6/2023 1:22
007D23010600007504,Ready Eat ,1/6/2023 1:22
007D23010600007505,NUGGET ,1/6/2023 1:57
007D23010600007505,KENTANG ,1/6/2023 1:57
007D23010600007505,TEH ,1/6/2023 1:57
007D23010600007505,Cappucino Latte ,1/6/2023 1:57
007D23010600007505,Ready Eat ,1/6/2023 1:57
007D23010600007506,KOPI ,1/6/2023 4:09
007D23010600007508,KOPI ,1/6/2023 7:30
007D23010600007508,Bolu kukus,1/6/2023 7:30
007D23010600007509,Ready Eat ,1/6/2023 9:08
007D23010600007510,KOPI ,1/6/2023 10:08
007D23010600007511,KENTANG ,1/6/2023 10:58
007D23010600007511,SODA GEMBIRA ,1/6/2023 10:58
007D23010600007511,New Thai Tea ,1/6/2023 10:58
007D23010600007512,KOPI ,1/6/2023 11:23
007D23010600007513,KOPI ,1/6/2023 11:57
007D23010600007514,TEH ,1/6/2023 12:22
007D23010600007515,KENTANG ,1/6/2023 13:33
007D23010600007515,SODA GEMBIRA ,1/6/2023 13:33
007D23010600007515,TEH ,1/6/2023 13:33
007D23010600007515,62 ( noms snack 2000 ),1/6/2023 13:33
007D23010600007516,KOPI ,1/6/2023 13:45
007D23010600007516,AIR MINERAL RON 88,1/6/2023 13:45
007D23010600007516,KACANG BAWANG,1/6/2023 13:45
007D23010600007516,TEH ,1/6/2023 13:45
007D23010600007517,New Red Velvet ,1/6/2023 14:29
007D23010600007517,Cappucino Latte ,1/6/2023 14:29
007D23010600007517,Ready Eat ,1/6/2023 14:29
007D23010600007517,Ready Eat ,1/6/2023 14:29
007D23010600007517,KENTANG ,1/6/2023 14:29
007D23010600007517,NUGGET ,1/6/2023 14:29
007D23010600007517,PISANG GORENG CRISPY ,1/6/2023 14:29
007D23010600007518,KOPI ,1/6/2023 14:42
007D23010600007519,KENTANG ,1/6/2023 15:01
007D23010600007519,AIR MINERAL RON 88,1/6/2023 15:01
007D23010600007519,SODA GEMBIRA ,1/6/2023 15:01
007D23010600007520,KOPI ,1/6/2023 15:05
007D23010600007521,JAHE ,1/6/2023 15:43
007D23010600007522,Matcha latte ,1/6/2023 16:04
007D23010600007522,Lychee Tea ,1/6/2023 16:04
007D23010600007522,Ready Eat ,1/6/2023 16:04
007D23010600007522,Ready Eat ,1/6/2023 16:04
007D23010600007522,TEH ,1/6/2023 16:04
007D23010600007523,NUGGET ,1/6/2023 16:11
007D23010600007523,KENTANG ,1/6/2023 16:11
007D23010600007525,KOPI ,1/6/2023 16:18
007D23010600007525,KOPI ,1/6/2023 16:18
007D23010600007525,KOPI ,1/6/2023 16:18
007D23010600007525,SINGKONG KEJU ,1/6/2023 16:18
007D23010600007525,CLASS MILD 12,1/6/2023 16:18
007D23010600007526,KOPI ,1/6/2023 16:23
007D23010600007526,KOPI ,1/6/2023 16:23
007D23010600007527,KOPI ,1/6/2023 17:00
007D23010600007527,CIRENG ,1/6/2023 17:00
007D23010600007527,KOPI ,1/6/2023 17:00
007D23010600007528,KOPI ,1/6/2023 17:45
007D23010600007528,KOPI ,1/6/2023 17:45
007D23010600007529,New Red Velvet ,1/6/2023 18:03
007D23010600007530,KOPI ,1/6/2023 18:56
007D23010600007530,KOPI ,1/6/2023 18:56
007D23010600007530,SINGKONG KEJU ,1/6/2023 18:56
007D23010600007531,62 ( noms snack 2000 ),1/6/2023 19:04
007D23010600007532,KOPI ,1/6/2023 19:21
007D23010600007532,Cappucino Latte ,1/6/2023 19:21
007D23010600007533,CLASS MILD 12,1/6/2023 19:23
007D23010600007534,Ready Eat ,1/6/2023 20:24
007D23010600007534,KOPI ,1/6/2023 20:24
007D23010600007534,KACANG BAWANG,1/6/2023 20:24
007D23010600007535,CLASS MILD 12,1/6/2023 20:27
007D23010600007536,CIRENG ,1/6/2023 20:52
007D23010600007536,TAHU ,1/6/2023 20:52
007D23010600007537,AIR MINERAL RON 88,1/6/2023 20:53
007D23010600007537,ICI OCHA ,1/6/2023 20:53
007D23010600007538,KOPI ,1/6/2023 21:06
007D23010600007538,Coffee Hazelnut ,1/6/2023 21:06
007D23010600007538,KENTANG ,1/6/2023 21:06
007D23010600007539,Bolu kukus,1/6/2023 21:39
007D23010600007540,KOPI ,1/6/2023 21:40
007D23010600007540,KOPI ,1/6/2023 21:40
007D23010600007541,AIR MINERAL RON 88,1/6/2023 21:49
007D23010600007542,KOPI ,1/6/2023 21:54
007D23010600007543,KOPI ,1/6/2023 22:10
007D23010600007543,TEH ,1/6/2023 22:10
007D23010600007543,JERUK ,1/6/2023 22:10
007D23010600007544,KOPI ,1/6/2023 22:33
007D23010600007544,KOPI ,1/6/2023 22:33
007D23010600007544,KOPI ,1/6/2023 22:33
007D23010600007544,NUGGET ,1/6/2023 22:33
007D23010600007544,ROTI BAKAR ,1/6/2023 22:33
007D23010600007545,KOPI ,1/6/2023 23:00
007D23010600007546,JOSUA ,1/6/2023 23:04
007D23010600007546,TEH ,1/6/2023 23:04
007D23010600007547,KOPI ,1/6/2023 23:07
007D23010600007547,ROTI BAKAR ,1/6/2023 23:07
007D23010700007548,KOPI ,1/7/2023 7:10
007D23010700007549,KOPI ,1/7/2023 8:18
007D23010700007550,KOPI ,1/7/2023 8:29
007D23010700007551,KOPI ,1/7/2023 8:54
007D23010700007552,KOPI ,1/7/2023 9:28
007D23010700007552,KOPI ,1/7/2023 9:28
007D23010700007552,KOPI ,1/7/2023 9:28
007D23010700007552,SINGKONG KEJU ,1/7/2023 9:28
007D23010700007553,AROMA BOLD 12,1/7/2023 10:33
007D23010700007554,KOPI ,1/7/2023 11:59
007D23010700007554,AIR MINERAL RON 88,1/7/2023 11:59
