order no,item name,,order time,item group,qty
007D23010400007441,CIRENG ,,1/4/2023 12:37,SNACK,1
007D23010400007441,New Red Velvet ,,1/4/2023 12:37,TROPICAL SERIES,1
007D23010400007442,KOPI , TANPA AMPAS ,1/4/2023 12:39,KLOTOK SERIES,1
007D23010400007442,KOPI , TANPA AMPAS ,1/4/2023 12:39,KLOTOK SERIES,1
007D23010400007443,KOPI , TANPA AMPAS ,1/4/2023 12:41,KLOTOK SERIES,1
007D23010400007443,NUGGET ,,1/4/2023 12:41,SNACK,1
007D23010400007444,SODA GEMBIRA ,,1/4/2023 14:29,MINUMAN,1
007D23010400007444,DANCOW COKLAT ,,1/4/2023 14:29,MINUMAN,1
007D23010400007444,CIRENG ,,1/4/2023 14:29,SNACK,1
007D23010400007445,KOPI ,,1/4/2023 14:51,KLOTOK SERIES,1
007D23010400007446,Aroma Mile 16,,1/4/2023 14:55,ROKOK,1
007D23010400007447,SODA GEMBIRA ,,1/4/2023 16:07,MINUMAN,1
007D23010400007448,Aroma Mile 16,,1/4/2023 16:42,ROKOK,1
007D23010400007450,Royal Chocolate ,,1/4/2023 16:51,TROPICAL SERIES,1
007D23010400007450,KOPI ,,1/4/2023 16:51,KLOTOK SERIES,1
007D23010400007451,KOPI , TANPA AMPAS ,1/4/2023 18:11,KLOTOK SERIES,2
007D23010400007453,KOPI , TANPA AMPAS ,1/4/2023 20:09,KLOTOK SERIES,1
007D23010400007453,SINGKONG KEJU ,,1/4/2023 20:09,SNACK,1
007D23010400007454,KOPI , TANPA AMPAS ,1/4/2023 20:21,KLOTOK SERIES,1
007D23010400007454,SODA GEMBIRA ,,1/4/2023 20:21,MINUMAN,1
007D23010400007455,KENTANG ,,1/4/2023 20:25,SNACK,1
007D23010400007455,CIRENG ,,1/4/2023 20:25,SNACK,1
007D23010400007455,Taro ,,1/4/2023 20:25,TROPICAL SERIES,1
007D23010400007456,KOPI , TANPA AMPAS ,1/4/2023 20:44,KLOTOK SERIES,1
007D23010400007457,KOPI , COKLAT ,1/4/2023 20:45,KLOTOK SERIES,1
007D23010400007458,Cappucino Latte ,,1/4/2023 21:10,TROPICAL SERIES,1
007D23010400007458,JERUK ,,1/4/2023 21:10,MINUMAN,1
007D23010400007459,COFFE BEER RTD ,,1/4/2023 21:25,MINUMAN,1
007D23010400007460,KOPI , TANPA AMPAS ,1/4/2023 22:16,KLOTOK SERIES,1
007D23010400007461,KENTANG ,,1/4/2023 23:03,SNACK,2
007D23010400007461,KOPI , CREAMER ,1/4/2023 23:03,KLOTOK SERIES,1
007D23010400007461,Cappucino Latte ,,1/4/2023 23:03,TROPICAL SERIES,1
